Frame,W_kip_,Height_in_,L_ft_,alpha,Cladding,Structure,Roof,Seismic,Wind,Weights,k_lat_kip_ft_,MassParticipation,T_model_s_,T_r1_s_,T_r2_s_,T_S_U_s_
1,10.21,190,40,2.526,Metal Panels,Clear Span,Monoslope,Low,High,0.011666,3.52,0.933,0.546,0.546,0.545,0.70738633010679
2,25.16,192.5,100,6.234,Metal Panels,Clear Span,Gabled,Low,High,0.032986,12.459,0.619,0.571,0.56,0.454,0.537498058170957
3,46.71,220,160,8.727,Metal Panels,Clear Span,Monoslope,High,High,0.001667,27.663,0.423,0.606,0.58,0.415,0.423907010060283
4,13.14,400,40,1.2,Metal Panels,Clear Span,Gabled,Low,High,0.002174,3.563,0.93,0.602,0.602,0.614,0.953936501726282
5,52.23,385,100,3.117,Metal Panels,Clear Span,Monoslope,High,Low,0.001058,7.218,0.925,0.881,0.88,0.86,1.20825999809674
6,47.02,380,160,5.053,Metal Panels,Clear Span,Gabled,High,High,0.001717,7.233,0.765,0.91,0.901,0.815,0.732902017821895
7,15.17,545,40,0.881,Metal Panels,Clear Span,Gabled,High,High,0.00601,3.63,0.918,0.646,0.645,0.654,1.09279194471564
8,30.84,552.5,100,2.172,Metal Panels,Clear Span,Gabled,High,High,0.002999,2.516,0.916,1.124,1.124,1.119,1.35755319327656
9,53.59,580,160,3.31,Metal Panels,Clear Span,Monoslope,Low,High,0.000152,4.741,0.876,1.106,1.1,1.075,1.14249788037408
10,19.92,730,40,0.658,Metal Panels,Clear Span,Monoslope,High,High,0.000523,3.623,0.894,0.737,0.736,0.75,1.29451330474062
11,57.57,745,100,1.611,Metal Panels,Clear Span,Monoslope,High,Low,0.000261,1.826,0.961,1.798,1.797,1.796,1.79072382081243
12,57.98,800,160,2.4,Metal Panels,Clear Span,Monoslope,High,Low,0.000881,3.355,0.868,1.377,1.37,1.329,1.83329907588475
13,46.02,185,40,2.595,Concrete,Clear Span,Gabled,High,Low,0.004145,17.432,0.972,0.527,0.526,0.52,1.1024486321199
