cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age,concrete_compressive_strength,type
540,0,0,162,2.5,1040,676,28,79.99,alta
540,0,0,162,2.5,1055,676,28,61.89,media
380,95,0,228,0,932,594,28,36.45,media
266,114,0,228,0,932,670,28,45.85,media
475,0,0,228,0,932,594,28,39.29,media
198.6,132.4,0,192,0,978.4,825.5,28,28.02,media
304,76,0,228,0,932,670,28,47.81,media
139.6,209.4,0,192,0,1047,806.9,28,28.24,media
427.5,47.5,0,228,0,932,594,28,37.43,media
237.5,237.5,0,228,0,932,594,28,30.08,media
332.5,142.5,0,228,0,932,594,28,33.02,media
190,190,0,228,0,932,670,28,40.86,media
485,0,0,146,0,1120,800,28,71.99,alta
374,189.2,0,170.1,10.1,926.1,756.7,28,61.09,media
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.8,media
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29,media
425,106.3,0,151.4,18.6,936,803.7,28,61.8,media
375,93.8,0,126.6,23.4,852.1,992.6,28,56.7,media
475,118.8,0,181.1,8.9,852.1,781.5,28,68.3,alta
469,117.2,0,137.8,32.2,852.1,840.5,28,66.9,alta
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29,media
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.7,media
531.3,0,0,141.8,28.2,852.1,893.7,28,56.4,media
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29,media
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.5,media
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.5,alta
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,alta
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7,alta
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.2,media
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,alta
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7,alta
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,alta
439,177,0,186,11.1,884.9,707.9,28,66,alta
389.9,189,0,145.9,22,944.7,755.8,28,74.5,alta
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3,alta
337.9,189,0,174.9,9.5,944.7,755.8,28,49.9,media
222.4,0,96.7,189.3,4.5,967.1,870.3,28,24.89,baja
233.8,0,94.6,197.9,4.6,947,852.2,28,22.84,baja
194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72,media
190.7,0,125.4,162.1,7.8,1090,804,28,26.4,media
212.1,0,121.6,180.3,5.7,1057.6,779.3,28,24.9,baja
230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48,baja
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47,media
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54,baja
168,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24,baja
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71,media
213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.23,media
229.7,0,118.2,195.2,6.1,1028.1,757.6,28,24.54,baja
238.1,0,94.1,186.7,7,949.9,847,28,30.23,media
250,0,95.7,187.4,5.5,956.9,861.2,28,29.22,media
212.5,0,100.4,159.3,8.7,1007.8,903.6,28,31.64,media
212.6,0,100.4,159.4,10.4,1003.8,903.8,28,37.4,media
212,0,124.8,159,7.8,1085.4,799.5,28,38.5,media
231.8,0,121.6,174,6.7,1056.4,778.5,28,33.73,media
251.4,0,118.3,188.5,5.8,1028.4,757.7,28,29.65,media
251.4,0,118.3,188.5,6.4,1028.4,757.7,28,32.66,media
181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77,media
182,45.2,122,170.2,8.2,1059.4,780.7,28,31.27,media
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12,media
290.4,0,96.2,168.1,9.4,961.2,865,28,34.74,media
277.1,0,97.4,160.6,11.8,973.9,875.6,28,48.28,media
295.7,0,95.6,171.5,8.9,955.1,859.2,28,39.94,media
251.8,0,99.9,146.1,12.4,1006,899.8,28,33.94,media
249.1,0,98.8,158.1,12.8,987.8,889,28,30.85,media
252.3,0,98.8,146.3,14.2,987.8,889,28,50.6,media
246.8,0,125.1,143.3,12,1086.8,800.9,28,52.5,media
275.1,0,121.4,159.5,9.9,1053.6,777.5,28,51.33,media
297.2,0,117.5,174.8,9.5,1022.8,753.5,28,47.4,media
213.7,0,174.7,154.8,10.2,1053.5,776.4,28,40.15,media
213.5,0,174.2,154.6,11.7,1052.3,775.5,28,45.94,media
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14,media
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51,media
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2,media
218.9,0,124.1,158.5,11.3,1078.7,794.9,28,30.22,media
376,0,0,214.6,0,1003.5,762.4,28,31.97,media
500,0,0,140,4,966,853,28,67.57,alta
475,0,59,142,1.9,1098,641,28,57.23,media
315,137,0,145,5.9,1130,745,28,81.75,alta
505,0,60,195,0,1030,630,28,64.02,media
451,0,0,165,11.3,1030,745,28,78.8,alta
516,0,0,162,8.2,801,802,28,41.37,media
520,0,0,170,5.2,855,855,28,60.28,media
528,0,0,185,6.9,920,720,28,56.83,media
520,0,0,175,5.2,870,805,28,51.02,media
385,0,136,158,20,903,768,28,55.55,media
500.1,0,0,200,3,1124.4,613.2,28,44.13,media
450.1,50,0,200,3,1124.4,613.2,28,39.38,media
397,17.2,158,167,20.8,967,633,28,55.65,media
333,17.5,163,167,17.9,996,652,28,47.28,media
334,17.6,158,189,15.3,967,633,28,44.33,media
405,0,0,175,0,1120,695,28,52.3,media
200,200,0,190,0,1145,660,28,49.25,media
516,0,0,162,8.3,801,802,28,41.37,media
145,116,119,184,5.7,833,880,28,29.16,media
160,128,122,182,6.4,824,879,28,39.4,media
234,156,0,189,5.9,981,760,28,39.3,media
250,180,95,159,9.5,860,800,28,67.87,alta
475,0,0,162,9.5,1044,662,28,58.52,media
285,190,0,163,7.6,1031,685,28,53.58,media
356,119,0,160,9,1061,657,28,59,media
275,180,120,162,10.4,830,765,28,76.24,alta
500,0,0,151,9,1033,655,28,69.84,alta
165,0,143.6,163.8,0,1005.6,900.9,28,26.2,media
165,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39,media
178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16,media
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2,media
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69,media
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2,media
167,75.4,167,164,7.9,1007.3,770.1,28,41.41,media
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81,media
190.3,0,125.2,166.6,9.9,1079,798.9,28,24.85,baja
250,0,95.7,191.8,5.3,948.9,857.2,28,27.22,media
213.5,0,174.2,159.2,11.7,1043.6,771.9,28,44.64,media
194.7,0,100.5,170.2,7.5,998,901.8,28,37.27,media
251.4,0,118.3,192.9,5.8,1043.6,754.3,28,33.27,media
446,24,79,162,11.6,967,712,28,57.03,media
446,24,79,162,11.6,967,712,28,44.42,media
446,24,79,162,11.6,967,712,28,51.02,media
446,24,79,162,10.3,967,712,28,53.39,media
387,20,94,157,14.3,938,845,28,50.24,media
387,20,94,157,13.9,938,845,28,46.68,media
387,20,94,157,11.6,938,845,28,46.68,media
355,19,97,145,13.1,967,871,28,44.03,media
355,19,97,145,12.3,967,871,28,55.45,media
491,26,123,210,3.9,882,699,28,55.55,media
491,26,123,201,3.9,822,699,28,57.92,media
424,22,132,178,8.5,822,750,28,62.05,media
424,22,132,168,8.9,822,750,28,72.1,alta
202,11,141,206,1.7,942,801,28,21.97,baja
284,15,141,179,5.5,842,801,28,43.73,media
359,19,141,154,10.9,942,801,28,62.94,media
359,19,141,154,10.9,942,801,28,59.49,media
436,0,0,218,0,838.4,719.7,28,23.85,baja
393,0,0,192,0,940.6,785.6,28,39.6,media
