Specimen,h(mm),d(mm),bca(mm),fc(MPa),rho(%),rhof(%),Vexp(kN),VexpVR/est1b,VexpVR/est2c,VexpVR/d-d
S1,152,127,152,47.7,0.98,0,433,1.1,1.19,1.38
S2,152,127,152,47.7,0.66,0,379,1.16,1.22,1.42
S3/FRC,152,127,152,25.4,0.98,1,386,1.01,1.09,1.25
S4/FRC,152,127,152,25.4,0.66,1,389,1.15,1.2,1.37
S5/FRM,152,127,152,59.3,0.98,1.5,530,1.03,1.12,1.27
S6/FRM,152,127,152,57.9,0.66,1.5,444,1.03,1.03,1.16
S7/FRC,152,127,152,31,0.98,1.5,522,1.15,1.23,1.41
S8/FRC,152,127,152,31,0.66,1.5,472,1.19,1.2,1.36
S9/FRC,152,127,152,46.1,0.98,1.5,530,0.94,0.93,1.03
S10/FRC,152,127,152,59.1,0.66,1.5,503,1.12,1.12,1.12
FS-1,125,100,150,35.4,0.56,0,173.5,1.1,1.2,1.4
FS-2,125,100,150,34,0.56,0.5,225,1.17,1.23,1.41
FS-3,125,100,150,35.6,0.56,1,247.4,1.07,1.09,1.19
FS-4,125,100,150,35.7,0.56,1,224.4,0.97,0.99,1.08
FS-5,125,100,150,38,0.37,1,198.1,1.08,1.15,1.15
FS-6,125,100,150,35.7,0.37,1,174.5,0.96,1.02,1.02
FS-7,125,100,150,36.6,0.37,1,192.4,1.06,1.12,1.12
FS-19,125,100,150,34.5,0.37,0,136.5,1.12,1.16,1.35
FS-20,125,100,150,37,0.37,1,211,1.06,1.1,1.1
FS-8,125,100,100,36.7,0.56,0,150.3,1.06,1.19,1.38
FS-9,125,100,100,35.6,0.56,1,216.6,1.06,1.12,1.26
FS-10,125,100,200,36.4,0.56,0,191.4,1.1,1.17,1.36
FS-11,125,100,200,34.2,0.56,1,259.8,1.07,1.11,1.11
FS-12,125,100,150,36.1,0.56,1,217.5,1.1,1.13,1.28
FS-13,125,100,150,33.5,0.56,1,235.5,0.96,0.99,1
