fecha,nudos,km/h
1991-01,38,70
1991-02,19,35
1991-03,32,59
1991-04,40,74
1991-05,26,48
1991-06,35,65
1991-07,18,33
1991-08,38,70
1991-09,32,59
1991-10,40,74
1991-11,30,56
1991-12,42,78
1992-01,40,74
1992-02,38,70
1992-03,50,93
1992-04,18,33
1992-05,40,74
1992-06,30,56
1992-07,30,56
1992-08,38,70
1992-09,43,80
1992-10,44,81
1992-11,34,63
1992-12,34,63
1993-01,40,74
1993-02,34,63
1993-03,38,70
1993-04,40,74
1993-05,33,61
1993-06,43,80
1993-07,20,37
1993-08,40,74
1993-09,17,31
1993-10,34,63
1993-11,43,80
1993-12,36,67
1994-01,38,70
1994-02,20,37
1994-03,24,44
1994-04,34,63
1994-05,55,102
1994-06,33,61
1994-07,40,74
1994-08,40,74
1994-09,25,46
1994-10,45,83
1994-11,30,56
1994-12,50,93
1995-01,42,78
1995-02,41,76
1995-03,39,72
1995-04,21,39
1995-05,14,26
1995-06,18,33
1995-07,35,65
1995-08,21,39
1995-09,23,43
1995-10,31,57
1995-11,26,48
1995-12,33,61
1996-01,43,80
1996-02,36,67
1996-03,32,59
1996-04,60,111
1996-05,27,50
1996-06,40,74
1996-07,34,63
1996-08,40,74
1996-09,40,74
1996-10,20,37
1996-11,36,67
1996-12,40,74
1997-01,24,44
1997-02,37,69
1997-03,28,52
1997-04,44,81
1997-05,36,67
1997-06,35,65
1997-07,27,50
1997-08,38,70
1997-09,20,37
1997-10,31,57
1997-11,56,104
1997-12,30,56
1998-01,42,78
1998-02,32,59
1998-03,22,41
1998-04,58,107
1998-05,18,33
1998-06,16,30
1998-07,16,30
1998-08,18,33
1998-09,40,74
1998-10,34,63
1998-11,30,56
1998-12,40,74
1999-01,29,54
1999-02,31,57
1999-03,55,102
1999-04,31,57
1999-05,29,54
1999-06,27,50
1999-07,32,59
1999-08,19,35
1999-09,31,57
1999-10,19,35
1999-11,37,69
1999-12,17,31
2000-01,36,67
2000-02,40,74
2000-03,28,52
2000-04,17,31
2000-05,45,83
2000-06,18,33
2000-07,16,30
2000-08,30,56
2000-09,19,35
2000-10,31,57
2000-11,16,30
2000-12,17,31
2001-01,37,68
2001-02,35,65
2001-03,36,67
2001-04,30,56
2001-05,26,48
2001-06,25,46
2001-07,24,44
2001-08,31,57
2001-09,26,48
2001-10,28,52
2001-11,32,59
2001-12,34,63
2002-01,30,56
2002-02,23,43
2002-03,41,76
2002-04,13,24
