time,acc,atrunc
0,-0.002606863,-0.002606863
0.0042017,0.014793137,0.014793137
0.0084034,0.012393137,0.012393137
0.012605,0.011193137,0.011193137
0.016807,0.012993137,0.012993137
0.021008,0.002193137,0.002193137
0.02521,0.001593137,0.001593137
0.029412,0.006993137,0.006993137
0.033613,0.014193137,0.014193137
0.037815,0.008793137,0.008793137
0.042017,0.009993137,0.009993137
0.046218,0.029093137,0.02
0.05042,-0.011006863,-0.011006863
0.054622,-0.000206863,-0.000206863
0.058824,-0.003806863,-0.003806863
0.063025,-0.021706863,-0.02
0.067227,0.005793137,0.005793137
0.071429,-0.002606863,-0.002606863
0.07563,0.001593137,0.001593137
0.079832,0.008193137,0.008193137
0.084034,0.009393137,0.009393137
0.088235,0.022593137,0.02
0.092437,0.008193137,0.008193137
0.096639,0.004593137,0.004593137
0.10084,-0.005006863,-0.005006863
0.10504,-0.001406863,-0.001406863
0.10924,0.003393137,0.003393137
0.11345,0.014193137,0.014193137
0.11765,0.009993137,0.009993137
0.12185,0.024993137,0.02
0.12605,0.020793137,0.02
0.13025,0.017193137,0.017193137
0.13445,0.005793137,0.005793137
0.13866,0.014793137,0.014793137
0.14286,-0.010406863,-0.010406863
0.14706,0.002193137,0.002193137
0.15126,0.004593137,0.004593137
0.15546,-0.005006863,-0.005006863
0.15966,0.004593137,0.004593137
0.16387,0.009993137,0.009993137
0.16807,0.001593137,0.001593137
0.17227,0.000993137,0.000993137
0.17647,0.001593137,0.001593137
0.18067,0.007593137,0.007593137
0.18487,0.000393137,0.000393137
0.18908,-0.004406863,-0.004406863
0.19328,0.002793137,0.002793137
0.19748,-0.003806863,-0.003806863
0.20168,-0.000206863,-0.000206863
0.20588,0.003993137,0.003993137
0.21008,0.013593137,0.013593137
0.21429,0.024993137,0.02
0.21849,0.020193137,0.02
0.22269,-0.000206863,-0.000206863
0.22689,0.008793137,0.008793137
0.23109,-0.015106863,-0.015106863
0.23529,-0.016306863,-0.016306863
0.2395,0.015993137,0.015993137
0.2437,0.017793137,0.017793137
0.2479,0.009393137,0.009393137
0.2521,0.000393137,0.000393137
0.2563,-0.011006863,-0.011006863
0.2605,-0.005606863,-0.005606863
0.26471,0.006393137,0.006393137
0.26891,0.017193137,0.017193137
0.27311,0.000393137,0.000393137
0.27731,-0.004406863,-0.004406863
0.28151,-0.009206863,-0.009206863
0.28571,-0.012806863,-0.012806863
0.28992,-0.013906863,-0.013906863
0.29412,-0.016906863,-0.016906863
0.29832,0.000993137,0.000993137
0.30252,-0.008606863,-0.008606863
0.30672,0.003393137,0.003393137
0.31092,0.007593137,0.007593137
0.31513,-0.001406863,-0.001406863
0.31933,0.005193137,0.005193137
0.32353,0.021393137,0.02
0.32773,-0.003206863,-0.003206863
0.33193,0.015393137,0.015393137
0.33613,0.014793137,0.014793137
0.34034,0.011793137,0.011793137
0.34454,0.015993137,0.015993137
0.34874,-0.003206863,-0.003206863
0.35294,0.000393137,0.000393137
0.35714,-0.014506863,-0.014506863
0.36134,-0.002606863,-0.002606863
0.36555,0.006993137,0.006993137
0.36975,0.010593137,0.010593137
0.37395,0.008193137,0.008193137
0.37815,0.003393137,0.003393137
0.38235,-0.005606863,-0.005606863
0.38655,0.012993137,0.012993137
0.39076,0.008193137,0.008193137
0.39496,0.006993137,0.006993137
0.39916,0.000993137,0.000993137
0.40336,0.012393137,0.012393137
0.40756,0.005793137,0.005793137
0.41176,0.004593137,0.004593137
0.41597,-0.012806863,-0.012806863
0.42017,-0.002606863,-0.002606863
0.42437,0.005793137,0.005793137
0.42857,0.006993137,0.006993137
0.43277,0.018393137,0.018393137
0.43697,0.020793137,0.02
0.44118,0.027393137,0.02
0.44538,-0.002606863,-0.002606863
0.44958,0.003993137,0.003993137
0.45378,-0.002606863,-0.002606863
0.45798,0.002793137,0.002793137
0.46218,-0.026506863,-0.02
0.46639,-0.003806863,-0.003806863
0.47059,0.008193137,0.008193137
0.47479,0.014193137,0.014193137
0.47899,0.010593137,0.010593137
0.48319,0.003393137,0.003393137
0.48739,0.011193137,0.011193137
0.4916,0.006393137,0.006393137
0.4958,-0.003206863,-0.003206863
0.5,-0.008606863,-0.008606863
0.5042,0.005193137,0.005193137
0.5084,-0.000206863,-0.000206863
0.51261,0.002193137,0.002193137
0.51681,0.002793137,0.002793137
0.52101,-0.000206863,-0.000206863
0.52521,0.003393137,0.003393137
0.52941,0.011793137,0.011793137
0.53361,-0.006806863,-0.006806863
0.53782,-0.010406863,-0.010406863
0.54202,-0.005606863,-0.005606863
0.54622,-0.004406863,-0.004406863
0.55042,-0.003206863,-0.003206863
0.55462,-0.006806863,-0.006806863
0.55882,0.019593137,0.019593137
0.56303,0.017793137,0.017793137
0.56723,0.002793137,0.002793137
0.57143,0.010593137,0.010593137
0.57563,0.003993137,0.003993137
0.57983,-0.001406863,-0.001406863
0.58403,0.012993137,0.012993137
0.58824,-0.011006863,-0.011006863
0.59244,-0.002006863,-0.002006863
0.59664,0.012993137,0.012993137
0.60084,-0.005006863,-0.005006863
0.60504,0.002193137,0.002193137
0.60924,0.000393137,0.000393137
0.61345,0.010593137,0.010593137
0.61765,-0.005006863,-0.005006863
0.62185,0.001593137,0.001593137
