t [s],a(t) [m/s^2]
0,0.001911585
0.004201681,0.014047337
0.008403361,0.008225598
0.012605042,-0.008920341
0.016806723,-0.015807557
0.021008403,-0.001043975
0.025210084,-0.001138067
0.029411765,-0.013108676
0.033613445,-0.004059561
0.037815126,0.003234785
0.042016807,0.01413141
0.046218487,0.005260223
0.050420168,0.005333124
0.054621849,0.011947745
0.058823529,-0.000629491
0.06302521,-0.002456577
0.067226891,0.000504796
0.071428571,-0.013863168
0.075630252,-0.014409072
0.079831933,0.007269712
0.084033613,-0.009865201
0.088235294,0.009601298
0.092436975,0.000413012
0.096638655,-0.001548593
0.100840336,0.001878031
0.105042017,-0.000730095
0.109243697,0.01391557
0.113445378,0.0056626
0.117647059,-0.002784494
0.121848739,-0.016836645
0.12605042,1.29215E-05
0.130252101,0.006482365
0.134453782,0.007399217
0.138655462,-0.001368618
0.142857143,-0.001794283
0.147058824,-0.00756777
0.151260504,-0.001855006
0.155462185,0.001641938
0.159663866,-0.000621325
0.163865546,-0.002035859
0.168067227,-0.006792263
0.172268908,0.006031681
0.176470588,0.005262266
0.180672269,0.005197885
0.18487395,0.011148785
0.18907563,-0.000903194
0.193277311,-0.023246474
0.197478992,-0.005655774
0.201680672,0.012934239
0.205882353,0.013367907
0.210084034,-0.00492849
0.214285714,-0.0006061
0.218487395,-0.005319519
0.222689076,0.005550554
0.226890756,-0.006820761
0.231092437,-0.014830518
0.235294118,0.000726374
0.239495798,0.006358067
0.243697479,0.005652084
0.24789916,-0.000827934
0.25210084,0.009000273
0.256302521,-0.005650389
0.260504202,-0.002981563
0.264705882,0.015108439
0.268907563,-0.004146226
0.273109244,-0.001565313
0.277310924,0.001854105
0.281512605,-0.004077331
0.285714286,-0.003775664
0.289915966,-0.000176994
0.294117647,-0.005166442
0.298319328,-0.008460891
0.302521008,-0.003956154
0.306722689,0.004276403
0.31092437,0.015745522
0.31512605,-0.000586963
0.319327731,0.00202243
0.323529412,-0.00692657
0.327731092,0.009067994
0.331932773,0.002083428
0.336134454,-0.0022077
0.340336134,-0.001493444
0.344537815,-0.003645314
0.348739496,0.000823848
0.352941176,0.007643694
0.357142857,-0.011383068
0.361344538,-0.00123772
0.365546218,-0.005640964
